id,address,version,token0,token1,fee,block_number,timestamp
5297,0xf373af3b81bb496d32f839d6b0e6522927b53197,2,0x4200000000000000000000000000000000000006,0xbbc6764c9b161e34cf622fa7db94d7d4904ab14a,300,11903430,1710596207
5298,0xd00a482e3ad5d88c87b347c078e348730c530432,2,0x4200000000000000000000000000000000000006,0xa9bb6b84c4a6d70d5aa4cdccce327d2bb6b20ddf,300,11903509,1710596365
5299,0x8874eb599c11669c955e5518c2291e5555e2c817,2,0x4200000000000000000000000000000000000006,0x502e8f4a2afbd43ec15a9cfd56293a68c3dfe9dd,300,11903576,1710596499
5300,0x0752f558f81f6c6d9b7732531efb17eca534e260,2,0x4200000000000000000000000000000000000006,0x890873a3d5d9b7c874529e4b279cf3a6e026354d,300,11903620,1710596587
5301,0x6d89f46da180132358fa6b3306f503d1e75a0994,2,0x11a90108d00b0a9dcd7cc5ea9580b1c13373b848,0x4200000000000000000000000000000000000006,300,11903650,1710596647
5302,0xef6597113d83a188a7bd2ca2cef2119c45bd0cd5,2,0x4200000000000000000000000000000000000006,0x6c48b8b772f209705f0f9f7cd6ee0cbd70f22f41,300,11903707,1710596761
5303,0xbd6e8ab66125d86475533dc34fc0c0dca241d4fd,2,0x14b21123af86b0cdd401b4eb2899bef1d01fdb6b,0x4200000000000000000000000000000000000006,300,11903725,1710596797
5304,0xea09cf62a1ebd7667457e950587c55a4eb1d1c31,2,0x4200000000000000000000000000000000000006,0x9daf8a738f4858677b5e1ee2b49fd8fd1bc6ede5,300,11903778,1710596903
5305,0xb5330c46d13899475c0a37f09e32cd40c63f6821,2,0x03a559dab0aa5225d19db5d2bd02c8539174c4b6,0x4200000000000000000000000000000000000006,300,11903787,1710596921
5306,0xdb91e74aa36efac72c3e39b9acd4fa060cde343b,2,0x4200000000000000000000000000000000000006,0x5a3bf9ad009ffca0e38ca7d278c4dcce6c70203e,300,11903801,1710596949
5307,0x3d59e54a8fd7c6c50763183de5245308fe780543,2,0x4200000000000000000000000000000000000006,0x446b4c21adeb14996cfe8ca43775e648a4acb28f,300,11903826,1710596999
5308,0xbb3aeafc352d91d0205f5c903e5e57d6d4b5b304,2,0x4200000000000000000000000000000000000006,0xfea21f7948efab60e40182d52a6e7ceeac27d33b,300,11903844,1710597035
5309,0xe58a4d3ecd58a7e44a9c1af1632ffb7568c67cb1,2,0x4200000000000000000000000000000000000006,0xe7828e5d74910b9354d1acde7dd1a7464ead7131,300,11903858,1710597063
